,stationID,startTime,endTime,inNums,outNums
0,0,2019-01-29 00:00:00,2019-01-29 00:10:00,0,0
1,0,2019-01-29 00:10:00,2019-01-29 00:20:00,0,0
2,0,2019-01-29 00:20:00,2019-01-29 00:30:00,0,0
3,0,2019-01-29 00:30:00,2019-01-29 00:40:00,0,0
4,0,2019-01-29 00:40:00,2019-01-29 00:50:00,0,0
5,0,2019-01-29 00:50:00,2019-01-29 01:00:00,0,0
6,0,2019-01-29 01:00:00,2019-01-29 01:10:00,0,0
7,0,2019-01-29 01:10:00,2019-01-29 01:20:00,0,0
8,0,2019-01-29 01:20:00,2019-01-29 01:30:00,0,0
9,0,2019-01-29 01:30:00,2019-01-29 01:40:00,0,0
10,0,2019-01-29 01:40:00,2019-01-29 01:50:00,0,0
11,0,2019-01-29 01:50:00,2019-01-29 02:00:00,0,0
12,0,2019-01-29 02:00:00,2019-01-29 02:10:00,0,0
13,0,2019-01-29 02:10:00,2019-01-29 02:20:00,0,0
14,0,2019-01-29 02:20:00,2019-01-29 02:30:00,0,0
15,0,2019-01-29 02:30:00,2019-01-29 02:40:00,0,0
16,0,2019-01-29 02:40:00,2019-01-29 02:50:00,0,0
17,0,2019-01-29 02:50:00,2019-01-29 03:00:00,0,0
18,0,2019-01-29 03:00:00,2019-01-29 03:10:00,0,0
19,0,2019-01-29 03:10:00,2019-01-29 03:20:00,0,0
20,0,2019-01-29 03:20:00,2019-01-29 03:30:00,0,0
21,0,2019-01-29 03:30:00,2019-01-29 03:40:00,0,0
22,0,2019-01-29 03:40:00,2019-01-29 03:50:00,0,0
23,0,2019-01-29 03:50:00,2019-01-29 04:00:00,0,0
24,0,2019-01-29 04:00:00,2019-01-29 04:10:00,0,0
25,0,2019-01-29 04:10:00,2019-01-29 04:20:00,0,0
26,0,2019-01-29 04:20:00,2019-01-29 04:30:00,0,0
27,0,2019-01-29 04:30:00,2019-01-29 04:40:00,0,0
28,0,2019-01-29 04:40:00,2019-01-29 04:50:00,0,0
29,0,2019-01-29 04:50:00,2019-01-29 05:00:00,0,0
30,0,2019-01-29 05:00:00,2019-01-29 05:10:00,0,0
31,0,2019-01-29 05:10:00,2019-01-29 05:20:00,0,0
32,0,2019-01-29 05:20:00,2019-01-29 05:30:00,0,0
33,0,2019-01-29 05:30:00,2019-01-29 05:40:00,1,0
34,0,2019-01-29 05:40:00,2019-01-29 05:50:00,1,0
35,0,2019-01-29 05:50:00,2019-01-29 06:00:00,3,0
36,0,2019-01-29 06:00:00,2019-01-29 06:10:00,5,0
37,0,2019-01-29 06:10:00,2019-01-29 06:20:00,9,0
